date,nav
2020-03-27,27.7187
2020-03-26,27.7201
2020-03-25,27.7216
2020-03-24,27.7231
2020-03-23,27.7246
2020-03-20,30.3031
2020-03-19,29.386
2020-03-18,30.1454
2020-03-17,31.4984
2020-03-16,32.0963
2020-03-13,33.8919
2020-03-12,33.5086
2020-03-11,36.0308
2020-03-09,35.974
2020-03-06,37.3419
2020-03-05,37.8724
2020-03-04,37.767
2020-03-03,38.1115
2020-03-02,37.5008
2020-02-28,37.8244
2020-02-27,38.7796
2020-02-26,38.7753
2020-02-25,38.9304
2020-02-24,39.1041
2020-02-20,39.6538
2020-02-19,39.5586
2020-02-18,39.1901
2020-02-17,39.2884
2020-02-14,39.3597
2020-02-13,39.4354
2020-02-12,39.6073
2020-02-11,39.4388
2020-02-10,39.3266
2020-02-07,39.6252
2020-02-06,39.4497
2020-02-05,39.2705
2020-02-04,39.1542
2020-02-03,39.0724
2020-01-31,39.3741
2020-01-30,39.598
2020-01-29,39.8125
2020-01-28,39.7946
2020-01-27,39.6289
2020-01-24,39.5153
2020-01-23,39.2166
2020-01-22,38.884
2020-01-21,38.9001
2020-01-20,38.9265
2020-01-17,39.1221
2020-01-16,39.0813
2020-01-15,38.7049
2020-01-14,38.3577
2020-01-13,38.0233
2020-01-10,37.6576
2020-01-09,37.483
2020-01-08,37.165
2020-01-07,37.0911
2020-01-06,36.9214
2020-01-03,37.4296
2020-01-02,37.6175
2020-01-01,37.2833
2019-12-31,37.2291
2019-12-30,37.1621
2019-12-27,37.079
2019-12-26,36.8832
2019-12-24,36.8428
2019-12-23,36.8836
2019-12-20,37.0003
2019-12-19,37.0289
2019-12-18,37.1126
2019-12-17,37.0455
2019-12-16,36.8454
2019-12-13,36.9263
2019-12-12,36.6936
2019-12-11,36.5838
2019-12-10,36.428
2019-12-09,36.7033
2019-12-06,36.6588
2019-12-05,36.9333
2019-12-04,36.8763
2019-12-03,36.7358
2019-12-02,36.9373
2019-11-29,36.9164
2019-11-28,37.047
2019-11-27,36.9728
2019-11-26,36.6752
2019-11-25,36.833
2019-11-22,36.6803
2019-11-21,36.7682
2019-11-20,36.8504
2019-11-19,36.7669
2019-11-18,36.6931
2019-11-15,36.7837
2019-11-14,36.5473
2019-11-13,36.6486
2019-11-11,36.8585
2019-11-08,36.7518
2019-11-07,36.7901
2019-11-06,36.6953
2019-11-05,36.759
2019-11-04,36.9804
2019-11-01,37.1207
2019-10-31,37.1299
2019-10-30,36.7883
2019-10-29,36.7064
2019-10-25,36.3155
2019-10-24,36.3767
2019-10-23,36.2501
2019-10-22,36.3099
2019-10-18,36.3991
2019-10-17,35.9662
2019-10-16,35.4515
2019-10-15,35.3433
2019-10-14,35.3663
2019-10-11,35.2812
2019-10-10,35.1268
2019-10-09,35.2318
2019-10-07,34.8637
2019-10-04,34.8119
2019-10-03,35.0446
2019-10-01,35.0018
2019-09-30,35.571
2019-09-27,35.7012
2019-09-26,35.7961
2019-09-25,35.5523
2019-09-24,35.9426
2019-09-23,35.8409
2019-09-20,34.7545
2019-09-19,33.2553
2019-09-18,33.6825
2019-09-17,33.6792
